央视频道,#genre#
CCTV1,http://192.168.31.1:35455/gaoma/cctv1.m3u8
CCTV2,http://192.168.31.1:35455/gaoma/cctv2.m3u8
CCTV3,http://192.168.31.1:35455/gaoma/cctv3.m3u8
CCTV4,http://192.168.31.1:35455/gaoma/cctv4.m3u8
CCTV5,http://192.168.31.1:35455/gaoma/cctv5.m3u8
CCTV5+,http://192.168.31.1:35455/gaoma/cctv5p.m3u8
CCTV6,http://192.168.31.1:35455/bptv/10000100000000050000000003870749.m3u8
CCTV7,http://192.168.31.1:35455/gaoma/cctv7.m3u8
CCTV8,http://192.168.31.1:35455/gaoma/cctv8.m3u8
CCTV9,http://192.168.31.1:35455/gaoma/cctv9.m3u8
CCTV10,http://192.168.31.1:35455/gaoma/cctv10.m3u8
CCTV11,http://192.168.31.1:35455/gaoma/cctv11.m3u8
CCTV12,http://192.168.31.1:35455/gaoma/cctv12.m3u8
CCTV13,http://192.168.31.1:35455/gaoma/cctv13.m3u8
CCTV14,http://192.168.31.1:35455/gaoma/cctv14.m3u8
CCTV15,http://192.168.31.1:35455/gaoma/cctv15.m3u8
CCTV16,http://192.168.31.1:35455/gaoma/cctv16.m3u8
CCTV17,http://192.168.31.1:35455/gaoma/cctv17.m3u8
CCTV怀旧剧场,http://183.165.36.155:4022/rtp/238.1.79.61:4624
CGTN,http://192.168.31.1:35455/gaoma/cgtnen.m3u8
CGTN纪录,http://192.168.31.1:35455/gaoma/cgtndoc.m3u8
CGTN俄语,http://192.168.31.1:35455/gaoma/cgtnru.m3u8
CGTN法语,http://192.168.31.1:35455/gaoma/cgtnfr.m3u8
CGTN西语,http://192.168.31.1:35455/gaoma/cgtnsp.m3u8
CGTN阿语,http://192.168.31.1:35455/gaoma/cgtnar.m3u8

卫视频道,#genre#
北京卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003870776.m3u8
湖南卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873458.m3u8
东方卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873462.m3u8
天津卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873466.m3u8
安徽卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873469.m3u8
深圳卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873474.m3u8
广东卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873459.m3u8
广西卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887394.m3u8
江苏卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873461.m3u8
江西卫视,http://192.168.31.1:35455/bptv/10000100000000050000000004796511.m3u8
河北卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873460.m3u8
河南卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887270.m3u8
浙江卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873464.m3u8
湖北卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873465.m3u8
山东卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873467.m3u8
山西卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887413.m3u8
东南卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873473.m3u8
四川卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887274.m3u8
贵州卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873471.m3u8
辽宁卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873468.m3u8
重庆卫视,http://192.168.31.1:35455/bptv/10000100000000050000000004796458.m3u8
黑龙江卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003873470.m3u8
内蒙古卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887427.m3u8
宁夏卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887433.m3u8
陕西卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887404.m3u8
吉林卫视,http://192.168.31.1:35455/bptv/10000100000000050000000004972569.m3u8
甘肃卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887450.m3u8
云南卫视,http://192.168.31.1:35455/itv/5000000011000031120.m3u8?cdn=bestzb
三沙卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887452.m3u8
青海卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887430.m3u8
新疆卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887448.m3u8
西藏卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887434.m3u8
兵团卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887456.m3u8
厦门卫视,http://192.168.31.1:35455/bptv/10000100000000050000000003887454.m3u8

数字频道,#genre#
重温经典,http://192.168.31.1:35455/bptv/10000100000000050000000003887494.m3u8
北京IPTV4K,http://192.168.31.1:35455/bptv/10000100000000050000000003887500.m3u8
萌宠TV,http://192.168.31.1:35455/bptv/10000100000000050000000003887495.m3u8
淘BABY,http://192.168.31.1:35455/bptv/10000100000000050000000003887496.m3u8
淘剧场,http://192.168.31.1:35455/bptv/10000100000000050000000003887497.m3u8
淘电影,http://192.168.31.1:35455/bptv/10000100000000050000000003887498.m3u8
淘娱乐,http://192.168.31.1:35455/bptv/10000100000000050000000003887499.m3u8
北京体育休闲,http://192.168.31.1:35455/bptv/10000100000000050000000003870779.m3u8
北京新闻,http://192.168.31.1:35455/bptv/10000100000000050000000003870780.m3u8
